,classification_id,user_id,workflow_id,annotations,subject_ids
394,390819437,2395292,20494,"small, faint",71287245
395,390819592,2395292,20494,"bright, double source",71287248
396,390819689,2395292,20494,"double source, bright",71287203
397,390819775,2395292,20494,"large, round, bright",71287255
398,390819932,2395292,20494,"long, extended, diffuse",71287186
399,390820112,2395292,20494,"small, blobby, extension ",71287071
400,390820202,2395292,20494,"spiral galaxy, diffuse",71287181
401,390834605,2395292,20494,"extended, bright, multiple peaks, possibly two superimposed galaxies",71287058
402,390834669,2395292,20494,"faint, diffuse",71287137
403,390834969,2395292,20494,"bright, multiple components",71287268
404,390835033,2395292,20494,"faint, small, v-shaped",71287014
405,390835105,2395292,20494,"long, faint, diffuse",71287006
406,390835138,2395292,20494,"small, faint",71287229
407,390835172,2395292,20494,"small, faint",71287160
408,390835362,2395292,20494,"large, bright",71287118
409,390835455,2395292,20494,"long, diffuse, bent, c-shape, faint",71287191
410,390835521,2395292,20494,"faint, small",71287140
411,390835604,2395292,20494,"faint, small, irregular ",71287050
412,390835701,2395292,20494,"small, faint",71287240
413,390835871,2395292,20494,"long, two bright spots",71287067
414,390835947,2395292,20494,"bright, blobby",71287262
415,390835982,2395292,20494,"small, faint",71287252
416,390836013,2395292,20494,"small, faint",71287176
417,390836092,2395292,20494,"small, multiple components",71287134
418,390836183,2395292,20494,"diffuse, multiple components ",71287214
419,390836265,2395292,20494,"small, faint",71287267
420,390836367,2395292,20494,"faint, possible spiral galaxy",71287039
421,390836490,2395292,20494,"bright, two lobes and core",71287280
422,390836560,2395292,20494,"long, diffuse",71287212
423,390836656,2395292,20494,"elongated, faint",71287076
424,390836728,2395292,20494,"bright, elongated",71287043
425,392339306,2420282,20494,"The source intensity in the lower left corner is very large, and no relationship to the others can be seen.
Also the other sources are in an elongated shape, while it is a circle.",71287208
426,392543079,2420282,20494,The sources in the middle seem to have a weak connection,71287012
427,392544294,2420282,20494,"seems to be two huge radio sources, one of which is encased in a more uniform medium , and the other radiates more straightly in one direction",71287258
428,392545715,2420282,20494,"there is associated emission  in the middle sources, Source expands in both directions",71286998
429,392546288,2420282,20494,"Two sources are clearly connected, one of them expands in the direction of the connecting line,  the other expands in a direction at a large angle to the connecting line",71287201
430,392547070,2420282,20494,It appears that the radio signal in the middle is wrapped around a black dot,71287155
431,392547672,2420282,20494,"there is a clear link between the two sources, the two sources differ in intensity, two sources emitting in different directions",71287242
432,392548124,2420282,20494,the radio source wraps around the galaxy,71287060
433,392548653,2420282,20494,The emitted radio flap and a strong radio signal at one end can be seen,71287043
434,392548906,2420282,20494,The radio signal is in the form of a long band,71287006
435,392549186,2420282,20494,The radio signals at the two ends of the middle black spot appear to be linked,71287270
436,392549662,2420282,20494,Looks like the middle jet is sprayed up and to the left,71287212
437,392550023,2420282,20494,"The middle and lower injection sources are linked, The middle radio source injects into both ends simultaneously",71287205
438,392550783,2420282,20494,"Strong radio source above the black spot,  the radiation source in the centre of the screen is ejected both in the direction of the connecting lines and vertically",71287085
439,392551215,2420282,20494,The radio signal appears to be around the black spot,71287117
440,392551521,2420282,20494,"The radio signal appears to be wrapped in black dots, Radio signals are emitted at both ends",71287237
